year	period	CPUE	log.CPUE	growth rate CPUE	peak rodent year	NAO May_Jun_Jul	temp.PREINC	temp.INC	temp.HATCH	temp.BROOD	temp.WINTER	temp.SPRING	prec.PREINC	prec.INC	prec.HATCH	prec.BROOD	opening day hunt (julian day)
1872	1872_1900	35	3.56	NA	yes	-1.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	227
1873	1872_1900	20	3.00	-0.56	no	-0.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	227
1874	1872_1900	20	3.00	0.00	no	-0.81	8.8	13.8	14.1	16	-1.2	4.5	16.3	6.3	11.3	56.6	227
1875	1872_1900	31	3.43	0.44	yes	0.3	10.4	13.7	14.6	15.5	-8.2	3.7	52.8	38.3	11.1	60.8	227
1876	1872_1900	32	3.47	0.03	yes	1.25	8.4	15.5	15.5	16.2	-3.9	3.1	8.6	40.6	7.1	28.6	227
1877	1872_1900	15	2.71	-0.76	no	-0.29	6.7	13.8	15.5	15.1	-8	1	46.1	44.5	26.9	44.1	227
1878	1872_1900	7	1.95	-0.76	no	-1.06	9.7	13.3	18.5	15.9	-3	5.1	65.1	58.4	0	31	227
1879	1872_1900	20	3.00	1.05	no	-0.48	9.4	14.8	14.4	14.2	-7.5	3	54.6	58.7	5.9	41.2	227
1880	1872_1900	30	3.40	0.41	yes	-1.08	9.7	14.9	16.9	15.6	-3.4	4.8	0	26.6	4.5	119.1	227
1881	1872_1900	18	2.89	-0.51	no	0.98	9	13.6	14.5	15.6	-7.9	0.9	0	41.7	23.8	22.4	227
1882	1872_1900	20	3.00	0.11	no	0.09	10.5	13.2	18.2	16.1	-0.4	5	55	56.6	5.3	84.1	227
1883	1872_1900	28	3.33	0.34	yes	-1.51	10	14.4	16.2	17.6	-5.3	3.3	42.8	89.3	14.7	64.2	227
1884	1872_1900	17	2.83	-0.50	no	-0.16	8.9	13.3	15.8	18	-2.7	4.1	43.8	26	1.9	23.6	227
1885	1872_1900	20	3.00	0.16	no	1.66	7.4	12.3	14	16.7	-4.5	3.5	83.5	22.6	9.3	20.5	227
1886	1872_1900	20	3.00	0.00	no	-1.14	8.7	14.2	12.3	14.8	-3	2.8	52.2	46.9	34.2	18.4	227
