week,new_confirmed,new_deaths,week_number
2020-01-12,0,0,1
2020-01-19,5,0,2
2020-01-26,2,0,3
2020-02-02,0,0,4
2020-02-09,0,0,5
2020-02-16,0,0,6
2020-02-23,31,1,7
2020-03-01,352,68,8
2020-03-08,2086,134,9
2020-03-15,5214,262,10
2020-03-22,12598,519,11
2020-03-29,21723,805,12
2020-04-05,21864,1214,13
2020-04-12,13112,984,14
2020-04-19,11891,881,15
2020-04-26,12810,741,16
2020-05-03,15702,564,17
2020-05-10,12765,686,18
2020-05-17,10759,441,19
2020-05-24,11789,404,20
2020-05-31,14079,312,21
2020-06-07,15279,300,22
2020-06-14,16044,362,23
2020-06-21,21831,366,24
2020-06-28,26377,312,25
2020-07-05,31181,416,26
2020-07-12,38869,555,27
2020-07-19,43791,500,28
2020-07-26,40160,632,29
2020-08-02,36451,522,30
2020-08-09,34309,634,31
2020-08-16,30379,725,32
2020-08-23,25408,452,33
2020-08-30,23335,362,34
2020-09-06,20906,274,35
2020-09-13,21442,349,36
2020-09-20,22963,392,37
2020-09-27,25535,370,38
2020-10-04,27168,344,39
2020-10-11,31386,336,40
2020-10-18,32924,422,41
2020-10-25,37195,474,42
2020-11-01,50682,516,43
2020-11-08,74917,578,44
2020-11-15,102997,673,45
2020-11-22,120046,744,46
2020-11-29,122011,1170,47
2020-12-06,142428,812,48
2020-12-13,140099,290,49
2020-12-20,117553,736,50
2020-12-27,93221,1438,51
2021-01-03,133726,1564,52
2021-01-10,128373,1603,53
2021-01-17,93346,1238,54
2021-01-24,80905,1529,55
2021-01-31,71944,1180,56
2021-02-07,54882,1374,57
2021-02-14,41434,1159,58
2021-02-21,41451,1089,59
2021-02-28,36410,694,60
2021-03-07,33009,568,61
2021-03-14,35026,396,62
2021-03-21,38756,351,63
2021-03-28,46210,345,64
2021-04-04,51700,322,65
2021-04-11,58887,333,66
2021-04-18,64682,393,67
2021-04-25,69465,427,68
2021-05-02,67627,442,69
2021-05-09,60472,450,70
2021-05-16,47937,465,71
2021-05-23,47618,475,72
2021-05-30,39791,455,73
2021-06-06,31615,68,74
2021-06-13,25068,-35,75
2021-06-20,22111,444,76
2021-06-27,19228,430,77
2021-07-04,16199,335,78
2021-07-11,27115,353,79
2021-07-18,36380,250,80
2021-07-25,50118,263,81
2021-08-01,81571,282,82
2021-08-08,122142,430,83
2021-08-15,143586,681,84
2021-08-22,157013,1055,85
2021-08-29,167576,1189,86
2021-09-05,156298,1356,87
2021-09-12,170731,1948,88
2021-09-19,145416,1958,89
2021-09-26,144712,1957,90
2021-10-03,128100,1829,91
2021-10-10,115263,1658,92
2021-10-17,108294,1511,93
2021-10-24,109319,1353,94
2021-10-31,95314,1211,95
2021-11-07,85306,957,96
2021-11-14,87075,1235,97
2021-11-21,63928,946,98
2021-11-28,64078,1088,99
2021-12-05,76429,1139,100
2021-12-12,66329,897,101
2021-12-19,93566,804,102
2021-12-26,212308,632,103
2022-01-02,421384,743,104
2022-01-09,729055,1336,105
2022-01-16,733232,1364,106
2022-01-23,904945,1786,107
2022-01-30,715336,2076,108
2022-02-06,325241,2339,109
2022-02-13,144332,2150,110
2022-02-20,31058,1611,111
2022-02-27,82999,1468,112
2022-03-06,58570,1305,113
2022-03-13,54930,1029,114
2022-03-20,43477,822,115
2022-03-27,41492,562,116
2022-04-03,57357,420,117
2022-04-10,60615,348,118
2022-04-17,59260,339,119
2022-04-24,87452,268,120
2022-05-01,109211,209,121
2022-05-08,102311,352,122
2022-05-15,141064,450,123
2022-05-22,151041,409,124
2022-05-29,125768,375,125
2022-06-05,149731,485,126
2022-06-12,120887,483,127
2022-06-19,118467,453,128
2022-06-26,142101,555,129
2022-07-03,121813,512,130
2022-07-10,135189,646,131
2022-07-17,123436,688,132
2022-07-24,107147,629,133
2022-07-31,103068,713,134
2022-08-07,85047,616,135
2022-08-14,81075,745,136
2022-08-21,63857,608,137
2022-08-28,59055,480,138
2022-09-04,43666,454,139
2022-09-11,47889,443,140
2022-09-18,56216,474,141
2022-09-25,53687,485,142
2022-10-02,50765,458,143
2022-10-09,38121,373,144
2022-10-16,32738,418,145
2022-10-23,30203,425,146
2022-10-30,25882,296,147
2022-11-06,24032,298,148
2022-11-13,33125,390,149
2022-11-20,37315,290,150
2022-11-27,34652,-46,151
2022-12-04,38244,394,152
2022-12-11,47060,642,153
2022-12-18,47889,564,154
2022-12-25,40126,451,155
2023-01-01,35711,570,156
2023-01-08,38955,680,157
2023-01-15,35205,677,158
2023-01-22,33003,555,159
2023-01-29,31116,367,160
2023-02-05,44352,429,161
2023-02-12,36175,514,162
2023-02-19,31619,393,163
2023-02-26,30649,407,164
2023-03-05,13485,264,165
2023-03-12,32132,496,166
