REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Oklahoma,2010,40,X,0.624179,X,X,X,X,X,X,19,17,3044
States,Oklahoma,2010,41,X,0.958678,X,X,X,X,X,X,29,17,3025
States,Oklahoma,2010,42,X,2.07039,X,X,X,X,X,X,70,18,3381
States,Oklahoma,2010,43,X,1.67073,X,X,X,X,X,X,48,18,2873
States,Oklahoma,2010,44,X,1.62845,X,X,X,X,X,X,49,15,3009
States,Oklahoma,2010,45,X,2.57453,X,X,X,X,X,X,76,16,2952
States,Oklahoma,2010,46,X,3.35068,X,X,X,X,X,X,103,16,3074
States,Oklahoma,2010,47,X,2.6523,X,X,X,X,X,X,64,16,2413
States,Oklahoma,2010,48,X,2.14477,X,X,X,X,X,X,64,16,2984
States,Oklahoma,2010,49,X,2.33623,X,X,X,X,X,X,51,15,2183
States,Oklahoma,2010,50,X,3.40386,X,X,X,X,X,X,111,17,3261
States,Oklahoma,2010,51,X,4.09441,X,X,X,X,X,X,85,17,2076
States,Oklahoma,2010,52,X,4.9101,X,X,X,X,X,X,142,17,2892
States,Oklahoma,2011,1,X,3.02847,X,X,X,X,X,X,100,17,3302
States,Oklahoma,2011,2,X,5.76184,X,X,X,X,X,X,180,18,3124
States,Oklahoma,2011,3,X,10.3386,X,X,X,X,X,X,345,15,3337
States,Oklahoma,2011,4,X,14.4065,X,X,X,X,X,X,511,15,3547
States,Oklahoma,2011,5,X,12.8354,X,X,X,X,X,X,287,17,2236
States,Oklahoma,2011,6,X,7.32127,X,X,X,X,X,X,170,14,2322
States,Oklahoma,2011,7,X,7.16321,X,X,X,X,X,X,176,17,2457
States,Oklahoma,2011,8,X,5.65058,X,X,X,X,X,X,185,17,3274
States,Oklahoma,2011,9,X,4.77424,X,X,X,X,X,X,129,15,2702
States,Oklahoma,2011,10,X,3.57379,X,X,X,X,X,X,108,15,3022
States,Oklahoma,2011,11,X,3.2034,X,X,X,X,X,X,83,15,2591
States,Oklahoma,2011,12,X,1.86879,X,X,X,X,X,X,47,16,2515
States,Oklahoma,2011,13,X,1.21359,X,X,X,X,X,X,25,16,2060
States,Oklahoma,2011,14,X,1.56685,X,X,X,X,X,X,45,16,2872
States,Oklahoma,2011,15,X,0.674252,X,X,X,X,X,X,16,16,2373
States,Oklahoma,2011,16,X,0.592969,X,X,X,X,X,X,14,14,2361
States,Oklahoma,2011,17,X,0.293686,X,X,X,X,X,X,8,17,2724
States,Oklahoma,2011,18,X,0.310421,X,X,X,X,X,X,7,15,2255
States,Oklahoma,2011,19,X,0.387973,X,X,X,X,X,X,8,16,2062
States,Oklahoma,2011,20,X,0.215703,X,X,X,X,X,X,5,16,2318
States,Oklahoma,2011,21,X,0.229226,X,X,X,X,X,X,4,16,1745
States,Oklahoma,2011,22,X,0.047824,X,X,X,X,X,X,1,15,2091
States,Oklahoma,2011,23,X,0.195886,X,X,X,X,X,X,4,15,2042
States,Oklahoma,2011,24,X,0.297619,X,X,X,X,X,X,5,13,1680
States,Oklahoma,2011,25,X,0,X,X,X,X,X,X,0,15,2048
States,Oklahoma,2011,26,X,0.175336,X,X,X,X,X,X,3,15,1711
States,Oklahoma,2011,27,X,0.172414,X,X,X,X,X,X,3,15,1740
States,Oklahoma,2011,28,X,0.106157,X,X,X,X,X,X,2,14,1884
States,Oklahoma,2011,29,X,0.102934,X,X,X,X,X,X,2,15,1943
States,Oklahoma,2011,30,X,0.101317,X,X,X,X,X,X,2,15,1974
States,Oklahoma,2011,31,X,0.0507099,X,X,X,X,X,X,1,12,1972
States,Oklahoma,2011,32,0,0,X,X,X,X,X,X,0,0,0
States,Oklahoma,2011,33,X,0.30722,X,X,X,X,X,X,6,15,1953
States,Oklahoma,2011,34,X,0.326397,X,X,X,X,X,X,8,16,2451
