Year,Week,Region,New Cases
2012,12,Other Countries,1
2012,12,Republic of Korea,0
2012,12,Saudi Arabia,0
2012,13,Other Countries,0
2012,13,Republic of Korea,0
2012,13,Saudi Arabia,0
2012,14,Other Countries,1
2012,14,Republic of Korea,0
2012,14,Saudi Arabia,0
2012,15,Other Countries,0
2012,15,Republic of Korea,0
2012,15,Saudi Arabia,0
2012,16,Other Countries,0
2012,16,Republic of Korea,0
2012,16,Saudi Arabia,0
2012,17,Other Countries,0
2012,17,Republic of Korea,0
2012,17,Saudi Arabia,0
2012,18,Other Countries,0
2012,18,Republic of Korea,0
2012,18,Saudi Arabia,0
2012,19,Other Countries,0
2012,19,Republic of Korea,0
2012,19,Saudi Arabia,0
2012,20,Other Countries,0
2012,20,Republic of Korea,0
2012,20,Saudi Arabia,0
2012,21,Other Countries,0
2012,21,Republic of Korea,0
2012,21,Saudi Arabia,0
2012,22,Other Countries,0
2012,22,Republic of Korea,0
2012,22,Saudi Arabia,1
2012,23,Other Countries,0
2012,23,Republic of Korea,0
2012,23,Saudi Arabia,0
2012,24,Other Countries,0
2012,24,Republic of Korea,0
2012,24,Saudi Arabia,0
2012,25,Other Countries,0
2012,25,Republic of Korea,0
2012,25,Saudi Arabia,0
2012,26,Other Countries,0
2012,26,Republic of Korea,0
2012,26,Saudi Arabia,0
2012,27,Other Countries,0
2012,27,Republic of Korea,0
2012,27,Saudi Arabia,0
2012,28,Other Countries,0
2012,28,Republic of Korea,0
2012,28,Saudi Arabia,0
2012,29,Other Countries,0
2012,29,Republic of Korea,0
2012,29,Saudi Arabia,0
2012,30,Other Countries,0
2012,30,Republic of Korea,0
2012,30,Saudi Arabia,0
2012,31,Other Countries,0
2012,31,Republic of Korea,0
2012,31,Saudi Arabia,0
2012,32,Other Countries,0
2012,32,Republic of Korea,0
2012,32,Saudi Arabia,0
2012,33,Other Countries,0
2012,33,Republic of Korea,0
2012,33,Saudi Arabia,0
2012,34,Other Countries,0
2012,34,Republic of Korea,0
2012,34,Saudi Arabia,0
2012,35,Other Countries,0
2012,35,Republic of Korea,0
2012,35,Saudi Arabia,0
2012,36,Other Countries,1
2012,36,Republic of Korea,0
2012,36,Saudi Arabia,0
2012,37,Other Countries,0
2012,37,Republic of Korea,0
2012,37,Saudi Arabia,0
2012,38,Other Countries,0
2012,38,Republic of Korea,0
2012,38,Saudi Arabia,0
2012,39,Other Countries,0
2012,39,Republic of Korea,0
2012,39,Saudi Arabia,0
2012,40,Other Countries,1
2012,40,Republic of Korea,0
2012,40,Saudi Arabia,1
2012,41,Other Countries,0
2012,41,Republic of Korea,0
2012,41,Saudi Arabia,1
2012,42,Other Countries,0
2012,42,Republic of Korea,0
2012,42,Saudi Arabia,0
2012,43,Other Countries,0
2012,43,Republic of Korea,0
2012,43,Saudi Arabia,1
2012,44,Other Countries,0
2012,44,Republic of Korea,0
2012,44,Saudi Arabia,0
2012,45,Other Countries,0
2012,45,Republic of Korea,0
2012,45,Saudi Arabia,1
2012,46,Other Countries,0
2012,46,Republic of Korea,0
2012,46,Saudi Arabia,0
2012,47,Other Countries,0
2012,47,Republic of Korea,0
2012,47,Saudi Arabia,0
2012,48,Other Countries,0
2012,48,Republic of Korea,0
2012,48,Saudi Arabia,0
2012,49,Other Countries,0
2012,49,Republic of Korea,0
2012,49,Saudi Arabia,0
2012,50,Other Countries,0
2012,50,Republic of Korea,0
2012,50,Saudi Arabia,0
2012,51,Other Countries,0
2012,51,Republic of Korea,0
2012,51,Saudi Arabia,0
2013,1,Other Countries,0
2013,1,Republic of Korea,0
2013,1,Saudi Arabia,0
2013,2,Other Countries,0
2013,2,Republic of Korea,0
2013,2,Saudi Arabia,0
2013,3,Other Countries,1
2013,3,Republic of Korea,0
2013,3,Saudi Arabia,1
2013,4,Other Countries,0
2013,4,Republic of Korea,0
2013,4,Saudi Arabia,0
2013,5,Other Countries,2
2013,5,Republic of Korea,0
2013,5,Saudi Arabia,1
2013,6,Other Countries,0
2013,6,Republic of Korea,0
2013,6,Saudi Arabia,0
2013,7,Other Countries,0
2013,7,Republic of Korea,0
2013,7,Saudi Arabia,0
2013,8,Other Countries,0
2013,8,Republic of Korea,0
2013,8,Saudi Arabia,2
2013,9,Other Countries,1
2013,9,Republic of Korea,0
2013,9,Saudi Arabia,0
2013,10,Other Countries,0
2013,10,Republic of Korea,0
2013,10,Saudi Arabia,0
2013,11,Other Countries,0
2013,11,Republic of Korea,0
2013,11,Saudi Arabia,0
2013,12,Other Countries,0
2013,12,Republic of Korea,0
2013,12,Saudi Arabia,0
2013,13,Other Countries,0
2013,13,Republic of Korea,0
2013,13,Saudi Arabia,1
2013,14,Other Countries,0
2013,14,Republic of Korea,0
2013,14,Saudi Arabia,0
2013,15,Other Countries,0
2013,15,Republic of Korea,0
2013,15,Saudi Arabia,6
2013,16,Other Countries,1
2013,16,Republic of Korea,0
2013,16,Saudi Arabia,8
2013,17,Other Countries,1
2013,17,Republic of Korea,0
2013,17,Saudi Arabia,5
2013,18,Other Countries,1
2013,18,Republic of Korea,0
2013,18,Saudi Arabia,3
2013,19,Other Countries,2
2013,19,Republic of Korea,0
2013,19,Saudi Arabia,4
2013,20,Other Countries,1
2013,20,Republic of Korea,0
2013,20,Saudi Arabia,4
2013,21,Other Countries,0
2013,21,Republic of Korea,0
2013,21,Saudi Arabia,7
2013,22,Other Countries,0
2013,22,Republic of Korea,0
2013,22,Saudi Arabia,5
2013,23,Other Countries,0
2013,23,Republic of Korea,0
2013,23,Saudi Arabia,5
2013,24,Other Countries,0
2013,24,Republic of Korea,0
2013,24,Saudi Arabia,6
2013,25,Other Countries,5
2013,25,Republic of Korea,0
2013,25,Saudi Arabia,5
2013,26,Other Countries,0
2013,26,Republic of Korea,0
2013,26,Saudi Arabia,1
2013,27,Other Countries,0
2013,27,Republic of Korea,0
2013,27,Saudi Arabia,4
2013,28,Other Countries,0
2013,28,Republic of Korea,0
2013,28,Saudi Arabia,3
2013,29,Other Countries,0
2013,29,Republic of Korea,0
2013,29,Saudi Arabia,4
2013,30,Other Countries,0
2013,30,Republic of Korea,0
2013,30,Saudi Arabia,1
2013,31,Other Countries,0
2013,31,Republic of Korea,0
2013,31,Saudi Arabia,3
2013,32,Other Countries,3
2013,32,Republic of Korea,0
2013,32,Saudi Arabia,7
2013,33,Other Countries,0
2013,33,Republic of Korea,0
2013,33,Saudi Arabia,6
2013,34,Other Countries,0
2013,34,Republic of Korea,0
2013,34,Saudi Arabia,7
2013,35,Other Countries,0
2013,35,Republic of Korea,0
2013,35,Saudi Arabia,12
2013,36,Other Countries,0
2013,36,Republic of Korea,0
2013,36,Saudi Arabia,6
2013,37,Other Countries,0
2013,37,Republic of Korea,0
2013,37,Saudi Arabia,6
2013,38,Other Countries,0
2013,38,Republic of Korea,0
2013,38,Saudi Arabia,3
2013,39,Other Countries,1
2013,39,Republic of Korea,0
2013,39,Saudi Arabia,2
2013,40,Other Countries,1
2013,40,Republic of Korea,0
2013,40,Saudi Arabia,3
2013,41,Other Countries,1
2013,41,Republic of Korea,0
2013,41,Saudi Arabia,2
2013,42,Other Countries,2
2013,42,Republic of Korea,0
2013,42,Saudi Arabia,3
2013,43,Other Countries,1
2013,43,Republic of Korea,0
2013,43,Saudi Arabia,1
2013,44,Other Countries,2
2013,44,Republic of Korea,0
2013,44,Saudi Arabia,2
2013,45,Other Countries,1
2013,45,Republic of Korea,0
