,TxnDate,TxnTime,Consumption
0,01 Feb 2022,14:41:48,1.016
1,01 Feb 2022,17:28:44,0.928
2,01 Feb 2022,19:51:07,0.988
3,01 Feb 2022,07:26:39,1.126
4,01 Feb 2022,05:20:47,0.886
5,01 Feb 2022,00:58:08,0.994
6,01 Feb 2022,15:03:14,0.956
7,01 Feb 2022,10:11:02,0.888
8,01 Feb 2022,08:07:57,1.0
9,01 Feb 2022,23:19:34,0.952
10,01 Feb 2022,19:29:47,2.758
11,01 Feb 2022,02:59:52,0.954
12,01 Feb 2022,08:48:25,0.898
13,01 Feb 2022,18:29:17,1.872
14,01 Feb 2022,11:14:33,0.936
15,01 Feb 2022,23:39:29,0.902
16,01 Feb 2022,20:11:54,0.928
17,01 Feb 2022,16:46:40,0.898
18,01 Feb 2022,14:00:03,0.914
19,01 Feb 2022,10:53:39,0.996
20,01 Feb 2022,08:29:14,0.982
21,01 Feb 2022,01:58:34,0.916
22,01 Feb 2022,07:01:46,0.938
23,01 Feb 2022,02:38:51,0.888
24,01 Feb 2022,16:04:00,0.968
25,01 Feb 2022,21:58:36,1.028
26,01 Feb 2022,12:39:22,1.88
27,01 Feb 2022,00:36:31,0.89
28,01 Feb 2022,04:41:40,0.93
29,01 Feb 2022,09:29:59,0.944
30,01 Feb 2022,22:59:11,1.828
31,01 Feb 2022,06:20:36,0.932
32,01 Feb 2022,01:18:41,0.942
33,01 Feb 2022,09:09:44,0.976
34,01 Feb 2022,05:41:26,0.928
35,01 Feb 2022,01:38:01,0.882
36,01 Feb 2022,03:41:04,0.924
37,01 Feb 2022,10:32:29,0.968
38,01 Feb 2022,09:51:31,0.984
39,01 Feb 2022,06:00:26,0.884
40,01 Feb 2022,21:35:38,3.86
41,01 Feb 2022,16:26:28,1.052
42,01 Feb 2022,13:01:35,1.036
43,01 Feb 2022,09:51:31,0.984
44,01 Feb 2022,14:00:03,0.914
45,01 Feb 2022,08:48:25,0.898
46,01 Feb 2022,05:01:34,0.92
47,01 Feb 2022,22:18:46,0.928
48,01 Feb 2022,00:17:01,0.9
49,01 Feb 2022,04:21:03,0.928
50,01 Feb 2022,11:35:28,0.956
51,01 Feb 2022,15:42:55,0.908
52,01 Feb 2022,07:46:19,0.94
53,01 Feb 2022,04:01:08,0.908
54,01 Feb 2022,17:47:51,0.878
55,01 Feb 2022,15:23:05,0.908
56,01 Feb 2022,03:20:48,0.968
57,01 Feb 2022,13:40:04,1.656
58,01 Feb 2022,14:20:03,0.91
59,01 Feb 2022,17:08:31,1.018
60,01 Feb 2022,11:57:31,1.024
61,01 Feb 2022,06:41:50,0.952
62,01 Feb 2022,02:19:27,0.976
63,01 Feb 2022,23:59:16,0.884
64,02 Feb 2022,18:03:39,0.954
65,02 Feb 2022,02:24:23,0.94
66,02 Feb 2022,05:49:45,1.052
67,02 Feb 2022,03:27:02,0.978
68,02 Feb 2022,11:18:08,0.904
69,02 Feb 2022,23:47:52,0.896
70,02 Feb 2022,17:20:49,1.08
71,02 Feb 2022,14:27:26,0.956
72,02 Feb 2022,05:06:51,0.928
73,02 Feb 2022,00:19:10,0.924
74,02 Feb 2022,21:17:04,1.022
75,02 Feb 2022,06:29:37,0.934
76,02 Feb 2022,02:03:54,1.038
77,02 Feb 2022,13:44:06,0.994
78,02 Feb 2022,13:44:06,0.994
79,02 Feb 2022,12:38:47,0.924
80,02 Feb 2022,12:38:47,0.924
81,02 Feb 2022,23:07:23,1.07
82,02 Feb 2022,20:55:14,0.968
83,02 Feb 2022,08:34:16,0.932
84,02 Feb 2022,12:18:51,0.928
85,02 Feb 2022,04:46:52,0.902
86,02 Feb 2022,18:44:47,0.918
87,02 Feb 2022,21:38:20,0.968
88,02 Feb 2022,17:42:51,1.008
89,02 Feb 2022,16:14:01,1.026
90,02 Feb 2022,12:59:36,0.968
91,02 Feb 2022,10:37:42,0.944
92,02 Feb 2022,01:19:50,0.896
93,02 Feb 2022,06:09:03,0.898
94,02 Feb 2022,16:35:45,1.002
95,02 Feb 2022,14:06:26,1.04
96,02 Feb 2022,06:49:03,0.902
97,02 Feb 2022,22:44:35,1.122
98,02 Feb 2022,20:34:35,1.044
99,02 Feb 2022,07:08:50,0.906
100,02 Feb 2022,10:17:03,1.868
101,02 Feb 2022,05:27:00,0.93
102,02 Feb 2022,01:00:34,0.914
103,02 Feb 2022,09:36:39,1.92
104,02 Feb 2022,00:39:59,0.956
105,02 Feb 2022,19:05:41,0.982
106,02 Feb 2022,15:08:01,0.926
107,02 Feb 2022,22:20:47,0.934
108,02 Feb 2022,18:24:47,0.998
109,02 Feb 2022,03:05:18,1.892
110,02 Feb 2022,15:51:48,2.022
111,02 Feb 2022,08:54:52,0.948
112,02 Feb 2022,04:26:53,0.934
113,02 Feb 2022,19:49:40,2.044
114,02 Feb 2022,23:28:46,0.984
115,02 Feb 2022,04:07:14,0.91
116,02 Feb 2022,20:11:55,1.036
117,02 Feb 2022,14:47:45,0.958
118,02 Feb 2022,07:29:58,0.98
119,02 Feb 2022,11:38:27,0.934
120,02 Feb 2022,22:00:18,1.044
121,02 Feb 2022,11:58:57,0.95
122,02 Feb 2022,10:58:21,0.964
123,02 Feb 2022,01:41:10,0.978
124,02 Feb 2022,07:53:10,1.084
125,02 Feb 2022,13:22:28,1.056
126,02 Feb 2022,16:57:43,1.02
127,02 Feb 2022,08:13:56,0.96
128,02 Feb 2022,03:46:48,0.934
129,03 Feb 2022,09:58:11,0.944
130,03 Feb 2022,06:06:06,1.0
131,03 Feb 2022,02:57:01,1.082
132,03 Feb 2022,23:10:55,0.932
133,03 Feb 2022,00:09:34,1.024
134,03 Feb 2022,08:54:35,1.012
135,03 Feb 2022,08:11:45,0.888
136,03 Feb 2022,03:18:05,0.976
137,03 Feb 2022,16:53:33,1.004
138,03 Feb 2022,10:40:38,1.006
139,03 Feb 2022,07:09:42,1.006
140,03 Feb 2022,00:29:58,0.914
141,03 Feb 2022,18:16:24,0.946
142,03 Feb 2022,13:54:16,0.98
143,03 Feb 2022,19:42:40,0.946
144,03 Feb 2022,23:55:40,1.13
145,03 Feb 2022,15:36:39,0.902
146,03 Feb 2022,01:32:10,0.952
147,03 Feb 2022,18:37:10,0.968
148,03 Feb 2022,12:49:12,0.956
149,03 Feb 2022,09:37:37,0.996
150,03 Feb 2022,15:16:50,0.936
151,03 Feb 2022,01:53:00,0.964
152,03 Feb 2022,05:44:21,1.002
153,03 Feb 2022,17:55:08,0.98
154,03 Feb 2022,21:26:47,0.904
155,03 Feb 2022,10:18:37,0.96
156,03 Feb 2022,06:48:02,0.952
157,03 Feb 2022,01:11:09,0.94
158,03 Feb 2022,22:07:44,1.894
159,03 Feb 2022,14:56:20,0.994
160,03 Feb 2022,11:03:16,1.056
161,03 Feb 2022,03:58:52,0.914
162,03 Feb 2022,13:33:07,1.04
163,03 Feb 2022,19:22:07,2.038
164,03 Feb 2022,16:31:39,0.854
165,03 Feb 2022,23:30:41,0.924
166,03 Feb 2022,11:44:55,0.986
167,03 Feb 2022,14:34:45,0.926
168,03 Feb 2022,04:40:50,0.952
169,03 Feb 2022,08:33:02,0.964
170,03 Feb 2022,11:23:34,0.93
