,TxnDate,TxnTime,Consumption
76229,01 Jan 2022,16:55:52,1.01
76258,01 Jan 2022,21:45:29,0.908
76287,01 Jan 2022,12:24:52,0.926
76316,01 Jan 2022,04:07:36,0.928
76345,01 Jan 2022,06:52:25,0.916
76374,01 Jan 2022,10:20:09,0.972
76403,01 Jan 2022,15:32:01,0.878
76432,01 Jan 2022,19:23:47,1.902
76461,01 Jan 2022,11:19:47,0.9
76490,01 Jan 2022,14:52:01,0.928
76512,01 Jan 2022,23:53:01,0.994
76548,01 Jan 2022,01:41:48,1.85
76577,01 Jan 2022,10:39:50,0.896
76606,01 Jan 2022,06:32:56,0.964
76635,01 Jan 2022,15:12:09,0.906
76664,01 Jan 2022,12:45:05,0.904
76693,01 Jan 2022,22:05:56,0.904
76722,01 Jan 2022,07:14:24,1.02
76751,01 Jan 2022,02:47:00,1.092
76780,01 Jan 2022,00:42:33,0.904
76809,01 Jan 2022,03:47:47,0.92
76838,01 Jan 2022,20:44:08,0.884
76867,01 Jan 2022,16:12:37,0.876
76896,01 Jan 2022,12:05:06,0.976
76925,01 Jan 2022,03:06:30,0.924
76954,01 Jan 2022,01:01:51,0.904
76983,01 Jan 2022,11:43:40,1.09
77012,01 Jan 2022,23:31:01,0.964
77041,01 Jan 2022,10:59:47,0.942
77070,01 Jan 2022,02:22:52,1.878
77099,01 Jan 2022,20:03:52,0.892
77128,01 Jan 2022,14:31:39,0.972
77157,01 Jan 2022,09:58:43,0.918
77186,01 Jan 2022,05:51:27,0.9
77215,01 Jan 2022,14:10:15,0.9
77244,01 Jan 2022,18:42:25,0.87
77273,01 Jan 2022,22:49:58,0.964
77302,01 Jan 2022,04:28:02,0.944
77331,01 Jan 2022,08:38:00,0.946
77360,01 Jan 2022,13:50:19,1.052
77389,01 Jan 2022,22:28:26,1.052
77418,01 Jan 2022,07:34:40,0.92
77447,01 Jan 2022,03:27:40,0.944
77476,01 Jan 2022,00:22:28,1.03
77505,01 Jan 2022,20:24:31,0.94
77534,01 Jan 2022,15:53:43,0.978
77563,01 Jan 2022,17:39:34,0.922
77592,01 Jan 2022,21:25:49,0.92
77621,01 Jan 2022,13:06:25,0.956
77650,01 Jan 2022,05:07:43,0.93
77679,01 Jan 2022,08:17:20,1.962
77708,01 Jan 2022,16:33:12,0.936
77737,01 Jan 2022,21:05:13,0.976
77766,01 Jan 2022,06:11:59,0.928
77795,01 Jan 2022,19:44:16,0.932
77824,01 Jan 2022,13:27:37,0.964
77853,01 Jan 2022,09:38:30,1.88
77882,01 Jan 2022,05:31:53,1.098
77911,01 Jan 2022,18:22:53,1.98
77940,01 Jan 2022,23:09:54,0.93
77969,01 Jan 2022,04:48:02,0.896
77998,01 Jan 2022,08:57:36,0.92
78027,01 Jan 2022,17:18:43,1.05
82844,02 Jan 2022,05:45:06,0.962
82873,02 Jan 2022,01:56:52,0.872
82902,02 Jan 2022,12:42:40,2.914
82931,02 Jan 2022,15:44:50,3.688
82960,02 Jan 2022,13:23:26,6.33
82989,02 Jan 2022,02:16:48,0.94
83018,02 Jan 2022,10:17:01,5.948
83047,02 Jan 2022,07:07:36,0.92
83076,02 Jan 2022,13:43:32,2.824
83105,02 Jan 2022,17:26:47,9.778
83134,02 Jan 2022,06:27:10,1.002
83163,02 Jan 2022,14:42:57,5.754
83192,02 Jan 2022,17:47:02,4.9
83221,02 Jan 2022,10:57:55,4.534
83250,02 Jan 2022,07:29:02,1.03
83279,02 Jan 2022,03:21:57,1.124
83308,02 Jan 2022,03:41:38,0.89
83337,02 Jan 2022,11:19:09,5.314
83366,02 Jan 2022,23:56:26,1.172
